GENESIS-Tabelle: 46241-0003
Straﬂenverkehrsunf‰lle mit Personenschaden, Getˆteten,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schwer- und Leichtverletzten: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Straﬂenklasse, Ortslage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der Straﬂenverkehrsunf‰lle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Autobahnen;innerorts;Unf‰lle mit Personenschaden;Anzahl;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-
Autobahnen;innerorts;Getˆtete;Anzahl;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-
Autobahnen;innerorts;Schwerverletzte;Anzahl;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-
Autobahnen;innerorts;Leichtverletzte;Anzahl;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-
Autobahnen;auﬂerorts;Unf‰lle mit Personenschaden;Anzahl;27348;26248;26103;26549;25513;24976;24794;24485;26627;25578;25990;24625;22646;21458;20943;20434;20466;18269;18394;18829;18290;17847;18452;18901;20113;21193;20928;20537;19980;15237
Autobahnen;auﬂerorts;Getˆtete;Anzahl;1552;1201;1109;1105;978;1020;933;803;911;907;770;857;811;694;662;645;602;495;475;430;453;387;428;375;414;393;409;424;356;317
Autobahnen;auﬂerorts;Schwerverletzte;Anzahl;10964;10241;9735;9918;9589;8981;8767;8308;8709;8233;7725;7192;6674;6109;5861;5851;5710;4896;4944;4924;5223;5163;5168;5707;5834;6103;5974;5910;5833;4434
Autobahnen;auﬂerorts;Leichtverletzte;Anzahl;32339;31345;31587;32224;31421;30815;30565;30311;33201;31965;33344;31433;28576;26918;26506;25586;25630;23384;23454;23949;23458;22785;24034;25063;26540;27842;27718;27003;26083;18865
Autobahnen;Insgesamt;Unf‰lle mit Personenschaden;Anzahl;27348;26248;26103;26549;25513;24976;24794;24485;26627;25578;25990;24625;22646;21458;20943;20434;20466;18269;18394;18829;18290;17847;18452;18901;20113;21193;20928;20537;19980;15237
Autobahnen;Insgesamt;Getˆtete;Anzahl;1552;1201;1109;1105;978;1020;933;803;911;907;770;857;811;694;662;645;602;495;475;430;453;387;428;375;414;393;409;424;356;317
Autobahnen;Insgesamt;Schwerverletzte;Anzahl;10964;10241;9735;9918;9589;8981;8767;8308;8709;8233;7725;7192;6674;6109;5861;5851;5710;4896;4944;4924;5223;5163;5168;5707;5834;6103;5974;5910;5833;4434
Autobahnen;Insgesamt;Leichtverletzte;Anzahl;32339;31345;31587;32224;31421;30815;30565;30311;33201;31965;33344;31433;28576;26918;26506;25586;25630;23384;23454;23949;23458;22785;24034;25063;26540;27842;27718;27003;26083;18865
Bundesstraﬂen;innerorts;Unf‰lle mit Personenschaden;Anzahl;48572;49995;46986;47912;46811;44709;45815;45591;46620;44970;43668;42860;40470;38187;38024;36305;37001;34350;32381;29267;30482;30027;28705;29844;28840;28484;27620;27186;27156;22525
Bundesstraﬂen;innerorts;Getˆtete;Anzahl;943;827;740;657;645;536;517;466;412;418;410;388;367;343;339;271;266;262;217;185;195;200;168;178;175;152;134;171;137;114
Bundesstraﬂen;innerorts;Schwerverletzte;Anzahl;12993;13035;11803;12071;11384;10388;10561;9695;9640;8669;7974;7753;7104;6693;6614;6169;6157;5651;5410;5074;5322;5129;4893;5089;4925;4857;4690;4514;4332;3604
Bundesstraﬂen;innerorts;Leichtverletzte;Anzahl;49107;50896;48620;49723;49425;47915;49276;49794;51525;50367;49396;48888;45738;43119;42685;40935;41818;38853;36703;33455;34361;34292;32587;34106;32610;32353;31500;30871;30513;24769
Bundesstraﬂen;auﬂerorts;Unf‰lle mit Personenschaden;Anzahl;40728;41880;41793;41781;41504;39850;39718;39280;40725;38754;37447;35639;33791;31428;30001;28735;28640;26143;25437;24245;25040;24479;23905;23903;24786;24255;23690;23826;23104;18820
Bundesstraﬂen;auﬂerorts;Getˆtete;Anzahl;2713;2780;2517;2532;2612;2316;2388;2114;1985;1908;1718;1682;1657;1413;1238;1241;1118;1013;880;829;959;828;714;723;771;690;688;661;648;466
Bundesstraﬂen;auﬂerorts;Schwerverletzte;Anzahl;20755;21355;20746;20385;20260;19261;18637;17357;17231;16094;14556;13335;12631;11549;10561;10073;9964;8950;8664;8213;8640;8312;8244;8225;8337;8272;8080;8083;7898;6270
Bundesstraﬂen;auﬂerorts;Leichtverletzte;Anzahl;41771;43189;43381;43966;44076;42517;42564;43530;45419;43845;43242;41652;39209;36164;34619;33229;33334;30185;29949;28522;29186;28635;28330;28614;29689;28889;28341;28499;28078;22142
Bundesstraﬂen;Insgesamt;Unf‰lle mit Personenschaden;Anzahl;89300;91875;88779;89693;88315;84559;85533;84871;87345;83724;81115;78499;74261;69615;68025;65040;65641;60493;57818;53512;55522;54506;52610;53747;53626;52739;51310;51012;50260;41345
Bundesstraﬂen;Insgesamt;Getˆtete;Anzahl;3656;3607;3257;3189;3257;2852;2905;2580;2397;2326;2128;2070;2024;1756;1577;1512;1384;1275;1097;1014;1154;1028;882;901;946;842;822;832;785;580
Bundesstraﬂen;Insgesamt;Schwerverletzte;Anzahl;33748;34390;32549;32456;31644;29649;29198;27052;26871;24763;22530;21088;19735;18242;17175;16242;16121;14601;14074;13287;13962;13441;13137;13314;13262;13129;12770;12597;12230;9874
Bundesstraﬂen;Insgesamt;Leichtverletzte;Anzahl;90878;94085;92001;93689;93501;90432;91840;93324;96944;94212;92638;90540;84947;79283;77304;74164;75152;69038;66652;61977;63547;62927;60917;62720;62299;61242;59841;59370;58591;46911
Landesstraﬂen;innerorts;Unf‰lle mit Personenschaden;Anzahl;39755;41777;41222;42518;41532;40106;41345;41566;42917;42150;42088;40928;40452;38694;38788;38059;39641;37832;36769;34070;36540;35234;33755;35694;35590;35630;35053;35701;35879;30219
Landesstraﬂen;innerorts;Getˆtete;Anzahl;621;587;628;561;540;492;442;445;411;410;390;400;378;326;326;328;289;292;294;259;276;232;206;179;227;207;216;191;194;160
Landesstraﬂen;innerorts;Schwerverletzte;Anzahl;11417;11612;11629;11900;11148;10799;10771;10006;9919;9480;8961;8289;7973;7724;7688;7491;7642;7238;6982;6416;7233;6484;6393;6906;6695;6751;6625;6776;6492;5466
Landesstraﬂen;innerorts;Leichtverletzte;Anzahl;38616;40461;40013;41436;41003;39860;41203;42361;44232;43784;44408;43618;43146;40845;41028;40522;42517;40019;39343;36828;38653;37990;36167;38055;38296;38213;37850;38422;38653;31451
Landesstraﬂen;auﬂerorts;Unf‰lle mit Personenschaden;Anzahl;39980;41233;43005;44168;43093;41948;42723;42661;44041;42405;41456;39049;38327;36009;33922;32428;32931;30633;29725;27825;29424;28181;27364;27984;28507;28765;28435;28629;27409;24640
Landesstraﬂen;auﬂerorts;Getˆtete;Anzahl;2195;2169;2142;2301;2136;2023;1981;1851;1806;1775;1682;1659;1460;1363;1175;1065;1135;1036;951;839;871;758;745;753;735;713;638;683;640;649
Landesstraﬂen;auﬂerorts;Schwerverletzte;Anzahl;20036;20461;21231;21940;21028;20335;19977;19401;19058;18141;16467;15138;14509;13482;12225;11566;11901;10755;10240;9276;10355;9853;9556;10060;10115;9969;10015;10262;9948;8802
Landesstraﬂen;auﬂerorts;Leichtverletzte;Anzahl;37858;39018;41052;42409;41540;40833;41911;42454;44844;43396;43256;40946;40172;37687;35516;34375;34931;32393;31324;29885;30906;29911;29004;29694;30009;30977;30561;30767;29334;25135
Landesstraﬂen;Insgesamt;Unf‰lle mit Personenschaden;Anzahl;79735;83010;84227;86686;84625;82054;84068;84227;86958;84555;83544;79977;78779;74703;72710;70487;72572;68465;66494;61895;65964;63415;61119;63678;64097;64395;63488;64330;63288;54859
Landesstraﬂen;Insgesamt;Getˆtete;Anzahl;2816;2756;2770;2862;2676;2515;2423;2296;2217;2185;2072;2059;1838;1689;1501;1393;1424;1328;1245;1098;1147;990;951;932;962;920;854;874;834;809
Landesstraﬂen;Insgesamt;Schwerverletzte;Anzahl;31453;32073;32860;33840;32176;31134;30748;29407;28977;27621;25428;23427;22482;21206;19913;19057;19543;17993;17222;15692;17588;16337;15949;16966;16810;16720;16640;17038;16440;14268
Landesstraﬂen;Insgesamt;Leichtverletzte;Anzahl;76474;79479;81065;83845;82543;80693;83114;84815;89076;87180;87664;84564;83318;78532;76544;74897;77448;72412;70667;66713;69559;67901;65171;67749;68305;69190;68411;69189;67987;56586
Kreisstraﬂen;innerorts;Unf‰lle mit Personenschaden;Anzahl;19565;19628;19343;19164;17785;16743;17596;17678;18761;18217;18369;18138;17936;17410;17296;17393;17702;17142;16916;15798;16788;16586;16526;16856;16643;16612;16255;16300;16548;14735
Kreisstraﬂen;innerorts;Getˆtete;Anzahl;325;299;265;254;206;204;217;174;188;186;178;160;169;150;154;148;151;127;128;96;97;117;98;99;101;95;102;98;78;86
Kreisstraﬂen;innerorts;Schwerverletzte;Anzahl;6039;5641;5558;5330;4875;4595;4813;4632;4646;4336;4043;3964;3903;3761;3482;3674;3636;3441;3360;3093;3396;3283;3167;3305;3226;3168;3071;3083;3047;2750
Kreisstraﬂen;innerorts;Leichtverletzte;Anzahl;18027;18369;18206;18199;17093;16305;17041;17460;18801;18231;18763;18884;18414;17965;17821;17930;18098;17788;17428;16594;17264;17199;17202;17563;17404;17410;17109;16885;17092;14807
Kreisstraﬂen;auﬂerorts;Unf‰lle mit Personenschaden;Anzahl;18775;18471;19051;18922;19030;18750;19139;19358;20286;19336;19435;18218;18373;16950;16316;15666;15703;15098;15016;13719;14595;14259;13959;14162;14429;14163;14185;14365;13851;12748
