GENESIS-Tabelle: 46241-0001
Unf‰lle (polizeilich erfasste): Deutschland, Jahre,;;;;;;;;;;;;;;
Unfallkategorie, Ortslage;;;;;;;;;;;;;;
Statistik der Straﬂenverkehrsunf‰lle;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;
Unf‰lle (polizeilich erfasste) (Anzahl);;;;;;;;;;;;;;
;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Unf‰lle mit Personenschaden;innerorts;221306;213361;195833;210427;206696;199650;209618;209821;211686;207562;213124;207625;183412
Unf‰lle mit Personenschaden;auﬂerorts (ohne Autobahnen);81039;79051;73635;77549;75094;73003;73916;75725;75266;74166;75060;72538;65850
Unf‰lle mit Personenschaden;auf Autobahnen;18269;18394;18829;18290;17847;18452;18901;20113;21193;20928;20537;19980;15237
Unf‰lle mit Personenschaden;Insgesamt;320614;310806;288297;306266;299637;291105;302435;305659;308145;302656;308721;300143;264499
Schwerwiegende Unf‰lle mit Sachschaden i.e.S;innerorts;53730;51601;51388;48435;48571;47582;42192;40709;42168;43375;40461;40569;33880
Schwerwiegende Unf‰lle mit Sachschaden i.e.S;auﬂerorts (ohne Autobahnen);24086;23643;24035;21476;21610;21240;18101;18079;18664;19341;18342;18129;15418
Schwerwiegende Unf‰lle mit Sachschaden i.e.S;auf Autobahnen;13328;14275;16684;11576;11966;12002;10186;9988;10806;11745;10358;10491;8716
Schwerwiegende Unf‰lle mit Sachschaden i.e.S;Insgesamt;91144;89519;92107;81487;82147;80824;70479;68776;71638;74461;69161;69189;58014
Sonst. Unf‰lle unter dem Einfluss berausch. Mittel;innerorts;15275;14435;13426;13627;13488;12977;12510;12134;12773;12901;12930;13010;11055
Sonst. Unf‰lle unter dem Einfluss berausch. Mittel;auﬂerorts (ohne Autobahnen);2277;2117;1973;1994;2004;1967;1818;1914;1949;1933;1937;2010;1825
Sonst. Unf‰lle unter dem Einfluss berausch. Mittel;auf Autobahnen;653;617;635;640;651;620;619;684;796;765;814;761;716
Sonst. Unf‰lle unter dem Einfluss berausch. Mittel;Insgesamt;18205;17169;16034;16261;16143;15564;14947;14732;15518;15599;15681;15781;13596
‹brige Sachschadensunf‰lle;innerorts;1374242;1410319;1499441;1470576;1482411;1508895;1524958;1592255;1636802;1670700;1679780;1714634;1416940
‹brige Sachschadensunf‰lle;auﬂerorts (ohne Autobahnen);369063;366467;386564;366052;401026;396524;371778;405098;411952;434259;418839;439165;386734
‹brige Sachschadensunf‰lle;auf Autobahnen;120395;119173;128828;120815;120479;121099;122088;130311;141272;145423;144286;146749;105462
‹brige Sachschadensunf‰lle;Insgesamt;1863700;1895959;2014833;1957443;2003916;2026518;2018824;2127664;2190026;2250382;2242905;2300548;1909136
Insgesamt;innerorts;1664553;1689716;1760088;1743065;1751166;1769104;1789278;1854919;1903429;1934538;1946295;1975838;1645287
Insgesamt;auﬂerorts (ohne Autobahnen);476465;471278;486207;467071;499734;492734;465613;500816;507831;529699;514178;531842;469827
Insgesamt;auf Autobahnen;152645;152459;164976;151321;150943;152173;151794;161096;174067;178861;175995;177981;130131
Insgesamt;Insgesamt;2293663;2313453;2411271;2361457;2401843;2414011;2406685;2516831;2585327;2643098;2636468;2685661;2245245
__________
© Statistisches Bundesamt (Destatis), 2022
Stand: 22.01.2022 / 16:36:17
