GENESIS-Tabelle: 46241-0005
Unfälle mit Personenschaden, Verunglückte: Deutschland,;;;;;;;;;;;;;;;;;
Jahre, Unfalltyp/Unfallart, Ortslage, Schwere der Verletzung;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;
;;;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Fahrunfall;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;288;294;251;244;221;194;191;211;204;207;211;218;173
Fahrunfall;innerorts;Getötete;Verunglückte;Anzahl;309;317;265;262;238;204;197;221;214;220;222;231;178
Fahrunfall;innerorts;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;6797;6719;5864;6459;6177;6056;6173;6049;6204;6138;6395;6478;6984
Fahrunfall;innerorts;Schwerverletzte;Verunglückte;Anzahl;7419;7321;6432;7059;6707;6546;6697;6540;6702;6646;6899;6922;7336
Fahrunfall;innerorts;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;18293;18346;16825;16602;16626;16268;16384;16530;17563;17428;18873;19444;20226
Fahrunfall;innerorts;Leichtverletzte;Verunglückte;Anzahl;22566;22197;20621;19985;20051;19387;19230;19491;20526;20261;21676;22275;22476
Fahrunfall;innerorts;Insgesamt;Unfälle mit Personenschaden;Anzahl;25378;25359;22940;23305;23024;22518;22748;22790;23971;23773;25479;26140;27383
Fahrunfall;innerorts;Insgesamt;Verunglückte;Anzahl;30294;29835;27318;27306;26996;26137;26124;26252;27442;27127;28797;29428;29990
Fahrunfall;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;1169;1114;965;1073;894;817;816;785;733;729;730;676;676
Fahrunfall;außerorts (ohne Autobahnen);Getötete;Verunglückte;Anzahl;1298;1204;1040;1171;957;879;872;828;789;782;780;727;716
Fahrunfall;außerorts (ohne Autobahnen);Schwerverletzte;Unfälle mit Personenschaden;Anzahl;10490;10396;9113;9827;9409;9067;9014;9056;8727;8396;8640;8245;7986
Fahrunfall;außerorts (ohne Autobahnen);Schwerverletzte;Verunglückte;Anzahl;12565;12498;10966;11757;11274;10729;10682;10626;10281;9932;10098;9683;9216
Fahrunfall;außerorts (ohne Autobahnen);Leichtverletzte;Unfälle mit Personenschaden;Anzahl;19128;19519;18449;17732;17049;16907;15631;16137;16064;16081;15278;14637;13919
Fahrunfall;außerorts (ohne Autobahnen);Leichtverletzte;Verunglückte;Anzahl;26390;26724;25205;24029;23083;22611;20725;21208;21174;21091;19842;18994;17623
Fahrunfall;außerorts (ohne Autobahnen);Insgesamt;Unfälle mit Personenschaden;Anzahl;30787;31029;28527;28632;27352;26791;25461;25978;25524;25206;24648;23558;22581
Fahrunfall;außerorts (ohne Autobahnen);Insgesamt;Verunglückte;Anzahl;40253;40426;37211;36957;35314;34219;32279;32662;32244;31805;30720;29404;27555
Fahrunfall;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;170;175;136;131;107;110;107;115;118;99;122;85;84
Fahrunfall;auf Autobahnen;Getötete;Verunglückte;Anzahl;197;202;154;145;121;120;121;122;131;104;132;95;87
Fahrunfall;auf Autobahnen;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;1549;1565;1532;1436;1393;1293;1429;1388;1435;1414;1305;1296;1140
Fahrunfall;auf Autobahnen;Schwerverletzte;Verunglückte;Anzahl;2002;1998;2011;1846;1796;1683;1901;1895;1891;1877;1673;1743;1472
Fahrunfall;auf Autobahnen;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;4159;4252;4516;3461;3526;3544;3378;3415;3573;3558;3249;3269;2940
Fahrunfall;auf Autobahnen;Leichtverletzte;Verunglückte;Anzahl;6230;6262;6542;5137;5068;5231;5109;5081;5263;5287;4778;4735;4112
Fahrunfall;auf Autobahnen;Insgesamt;Unfälle mit Personenschaden;Anzahl;5878;5992;6184;5028;5026;4947;4914;4918;5126;5071;4676;4650;4164
Fahrunfall;auf Autobahnen;Insgesamt;Verunglückte;Anzahl;8429;8462;8707;7128;6985;7034;7131;7098;7285;7268;6583;6573;5671
Fahrunfall;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;1627;1583;1352;1448;1222;1121;1114;1111;1055;1035;1063;979;933
Fahrunfall;Insgesamt;Getötete;Verunglückte;Anzahl;1804;1723;1459;1578;1316;1203;1190;1171;1134;1106;1134;1053;981
Fahrunfall;Insgesamt;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;18836;18680;16509;17722;16979;16416;16616;16493;16366;15948;16340;16019;16110
Fahrunfall;Insgesamt;Schwerverletzte;Verunglückte;Anzahl;21986;21817;19409;20662;19777;18958;19280;19061;18874;18455;18670;18348;18024
Fahrunfall;Insgesamt;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;41580;42117;39790;37795;37201;36719;35393;36082;37200;37067;37400;37350;37085
Fahrunfall;Insgesamt;Leichtverletzte;Verunglückte;Anzahl;55186;55183;52368;49151;48202;47229;45064;45780;46963;46639;46296;46004;44211
Fahrunfall;Insgesamt;Insgesamt;Unfälle mit Personenschaden;Anzahl;62043;62380;57651;56965;55402;54256;53123;53686;54621;54050;54803;54348;54128
