GENESIS-Tabelle: 46241-0007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verunglückte: Deutschland, Jahre, Geschlecht, Altersgruppen,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Art der Verkehrsbeteiligung, Ortslage, Schwere der;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verletzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verunglückte (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
Kategorie;Kategorie;Kategorie;Kategorie;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
Jahr;Fahrzeug;Ortslage;Schwere der Verletzung;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt
2008;Kraftrad mit Versicherungskennzeichen;innerorts;Getötete;-;4;4;2;2;7;7;2;11;6;-;45;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4;2;2;8;8;2;11;6;-;47
2008;Kraftrad mit Versicherungskennzeichen;innerorts;Schwerverletzte;34;571;210;134;299;373;437;229;170;53;-;2510;20;170;86;51;68;96;97;38;16;10;-;652;-;-;-;-;-;-;-;-;-;-;-;-;54;741;296;185;367;469;534;267;186;63;-;3162
2008;Kraftrad mit Versicherungskennzeichen;innerorts;Leichtverletzte;125;3224;1326;817;1481;1648;1388;701;484;154;16;11364;75;1236;626;415;553;577;423;121;52;10;2;4090;3;-;1;1;-;1;-;-;-;-;9;15;203;4460;1953;1233;2034;2226;1811;822;536;164;27;15469
2008;Kraftrad mit Versicherungskennzeichen;innerorts;Insgesamt;159;3799;1540;953;1782;2028;1832;932;665;213;16;13919;95;1406;712;466;621;674;521;159;68;20;2;4744;3;-;1;1;-;1;-;-;-;-;9;15;257;5205;2253;1420;2403;2703;2353;1091;733;233;27;18678
2008;Kraftrad mit Versicherungskennzeichen;außerorts (ohne Autobahnen);Getötete;1;9;3;2;2;8;11;6;10;5;-;57;-;2;1;-;-;1;1;1;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;11;4;2;2;9;12;7;10;5;-;63
2008;Kraftrad mit Versicherungskennzeichen;außerorts (ohne Autobahnen);Schwerverletzte;10;228;85;29;84;132;111;66;61;29;-;835;7;74;23;9;18;18;20;9;9;1;-;188;-;-;-;-;-;-;-;-;-;-;-;-;17;302;108;38;102;150;131;75;70;30;-;1023
2008;Kraftrad mit Versicherungskennzeichen;außerorts (ohne Autobahnen);Leichtverletzte;15;668;215;100;166;249;195;104;97;35;-;1844;21;279;83;28;45;59;49;20;7;6;-;597;-;-;-;-;-;-;-;-;-;-;1;1;36;947;298;128;211;308;244;124;104;41;1;2442
2008;Kraftrad mit Versicherungskennzeichen;außerorts (ohne Autobahnen);Insgesamt;26;905;303;131;252;389;317;176;168;69;-;2736;28;355;107;37;63;78;70;30;16;7;-;791;-;-;-;-;-;-;-;-;-;-;1;1;54;1260;410;168;315;467;387;206;184;76;1;3528
